participant,time,nested_time,device_name,device_location,angle_x,posture
1,0,0,cd:75:20:e1:ef:ef,Lower back,-0.472,good1
1,0.001999999999995339,0.001999999999995339,ea:e4:fd:d7:dc:2a,Mid-back,0.934,good1
1,0.028999999999996362,0.028999999999996362,fe:77:90:13:0e:6b,Neck,-2.241,good1
1,0.05999999999999517,0.05999999999999517,fe:77:90:13:0e:6b,Neck,-2.247,good1
1,0.12099999999999511,0.12099999999999511,cd:75:20:e1:ef:ef,Lower back,-0.428,good1
1,0.12199999999999989,0.12199999999999989,ea:e4:fd:d7:dc:2a,Mid-back,0.939,good1
1,0.17899999999999494,0.17899999999999494,fe:77:90:13:0e:6b,Neck,-2.263,good1
1,0.2119999999999962,0.2119999999999962,ea:e4:fd:d7:dc:2a,Mid-back,0.95,good1
1,0.24099999999999966,0.24099999999999966,cd:75:20:e1:ef:ef,Lower back,-0.406,good1
1,0.2709999999999937,0.2709999999999937,cd:75:20:e1:ef:ef,Lower back,-0.412,good1
1,0.2989999999999995,0.2989999999999995,fe:77:90:13:0e:6b,Neck,-2.274,good1
1,0.33199999999999363,0.33199999999999363,ea:e4:fd:d7:dc:2a,Mid-back,0.95,good1
1,0.39000000000000057,0.39000000000000057,cd:75:20:e1:ef:ef,Lower back,-0.346,good1
1,0.42199999999999704,0.42199999999999704,ea:e4:fd:d7:dc:2a,Mid-back,0.945,good1
1,0.47799999999999443,0.47799999999999443,fe:77:90:13:0e:6b,Neck,-2.28,good1
1,0.4799999999999969,0.4799999999999969,cd:75:20:e1:ef:ef,Lower back,-0.346,good1
1,0.509999999999998,0.509999999999998,fe:77:90:13:0e:6b,Neck,-2.285,good1
1,0.5419999999999945,0.5419999999999945,ea:e4:fd:d7:dc:2a,Mid-back,0.928,good1
1,0.5999999999999943,0.5999999999999943,cd:75:20:e1:ef:ef,Lower back,-0.45,good1
1,0.5999999999999943,0.5999999999999943,fe:77:90:13:0e:6b,Neck,-2.302,good1
1,0.6019999999999968,0.6019999999999968,ea:e4:fd:d7:dc:2a,Mid-back,0.912,good1
1,0.6899999999999977,0.6899999999999977,cd:75:20:e1:ef:ef,Lower back,-0.412,good1
1,0.7199999999999989,0.7199999999999989,fe:77:90:13:0e:6b,Neck,-2.324,good1
1,0.7239999999999966,0.7239999999999966,ea:e4:fd:d7:dc:2a,Mid-back,0.89,good1
1,0.779999999999994,0.779999999999994,fe:77:90:13:0e:6b,Neck,-2.335,good1
1,0.8089999999999975,0.8089999999999975,cd:75:20:e1:ef:ef,Lower back,-0.401,good1
1,0.8109999999999999,0.8109999999999999,ea:e4:fd:d7:dc:2a,Mid-back,0.862,good1
1,0.8689999999999998,0.8689999999999998,fe:77:90:13:0e:6b,Neck,-2.351,good1
1,0.9009999999999962,0.9009999999999962,cd:75:20:e1:ef:ef,Lower back,-0.39,good1
1,0.931999999999995,0.931999999999995,ea:e4:fd:d7:dc:2a,Mid-back,0.846,good1
1,0.9889999999999972,0.9889999999999972,fe:77:90:13:0e:6b,Neck,-2.362,good1
1,1.0239999999999938,1.0239999999999938,ea:e4:fd:d7:dc:2a,Mid-back,0.818,good1
1,1.0509999999999948,1.0509999999999948,cd:75:20:e1:ef:ef,Lower back,-0.374,good1
1,1.1099999999999994,1.1099999999999994,fe:77:90:13:0e:6b,Neck,-2.379,good1
1,1.1400000000000006,1.1400000000000006,cd:75:20:e1:ef:ef,Lower back,-0.401,good1
1,1.1409999999999982,1.1409999999999982,ea:e4:fd:d7:dc:2a,Mid-back,0.791,good1
1,1.2279999999999944,1.2279999999999944,fe:77:90:13:0e:6b,Neck,-2.401,good1
1,1.2319999999999993,1.2319999999999993,ea:e4:fd:d7:dc:2a,Mid-back,0.775,good1
1,1.2579999999999956,1.2579999999999956,fe:77:90:13:0e:6b,Neck,-2.417,good1
1,1.259999999999998,1.259999999999998,cd:75:20:e1:ef:ef,Lower back,-0.45,good1
1,1.2909999999999968,1.2909999999999968,cd:75:20:e1:ef:ef,Lower back,-0.428,good1
1,1.320999999999998,1.320999999999998,ea:e4:fd:d7:dc:2a,Mid-back,0.753,good1
1,1.408999999999999,1.408999999999999,fe:77:90:13:0e:6b,Neck,-2.433,good1
1,1.4109999999999943,1.4109999999999943,ea:e4:fd:d7:dc:2a,Mid-back,0.731,good1
1,1.4109999999999943,1.4109999999999943,cd:75:20:e1:ef:ef,Lower back,-0.445,good1
1,1.529999999999994,1.529999999999994,fe:77:90:13:0e:6b,Neck,-2.45,good1
1,1.529999999999994,1.529999999999994,ea:e4:fd:d7:dc:2a,Mid-back,0.709,good1
1,1.5589999999999975,1.5589999999999975,cd:75:20:e1:ef:ef,Lower back,-0.439,good1
1,1.6499999999999986,1.6499999999999986,fe:77:90:13:0e:6b,Neck,-2.466,good1
1,1.6799999999999997,1.6799999999999997,cd:75:20:e1:ef:ef,Lower back,-0.428,good1
1,1.6799999999999997,1.6799999999999997,fe:77:90:13:0e:6b,Neck,-2.483,good1
1,1.681999999999995,1.681999999999995,ea:e4:fd:d7:dc:2a,Mid-back,0.676,good1
1,1.7099999999999937,1.7099999999999937,cd:75:20:e1:ef:ef,Lower back,-0.423,good1
1,1.7419999999999973,1.7419999999999973,ea:e4:fd:d7:dc:2a,Mid-back,0.643,good1
1,1.7999999999999972,1.7999999999999972,fe:77:90:13:0e:6b,Neck,-2.505,good1
1,1.7999999999999972,1.7999999999999972,cd:75:20:e1:ef:ef,Lower back,-0.379,good1
1,1.8319999999999936,1.8319999999999936,ea:e4:fd:d7:dc:2a,Mid-back,0.604,good1
1,1.8889999999999958,1.8889999999999958,fe:77:90:13:0e:6b,Neck,-2.708,good1
1,1.8909999999999982,1.8909999999999982,cd:75:20:e1:ef:ef,Lower back,-0.412,good1
1,1.9809999999999945,1.9809999999999945,ea:e4:fd:d7:dc:2a,Mid-back,0.577,good1
1,2.0090000000000003,2.0090000000000003,fe:77:90:13:0e:6b,Neck,-2.812,good1
1,2.009999999999998,2.009999999999998,cd:75:20:e1:ef:ef,Lower back,-0.533,good1
1,2.0109999999999957,2.0109999999999957,ea:e4:fd:d7:dc:2a,Mid-back,0.544,good1
1,2.0989999999999966,2.0989999999999966,fe:77:90:13:0e:6b,Neck,-2.845,good1
1,2.100999999999999,2.100999999999999,cd:75:20:e1:ef:ef,Lower back,-0.599,good1
1,2.1329999999999956,2.1329999999999956,ea:e4:fd:d7:dc:2a,Mid-back,0.604,good1
1,2.189,2.189,fe:77:90:13:0e:6b,Neck,-2.631,good1
1,2.2209999999999965,2.2209999999999965,ea:e4:fd:d7:dc:2a,Mid-back,0.637,good1
1,2.2789999999999964,2.2789999999999964,fe:77:90:13:0e:6b,Neck,-2.131,good1
1,2.280999999999999,2.280999999999999,cd:75:20:e1:ef:ef,Lower back,-0.582,good1
1,2.309999999999995,2.309999999999995,cd:75:20:e1:ef:ef,Lower back,-0.582,good1
1,2.340999999999994,2.340999999999994,ea:e4:fd:d7:dc:2a,Mid-back,0.599,good1
1,2.398999999999994,2.398999999999994,fe:77:90:13:0e:6b,Neck,-1.934,good1
1,2.4309999999999974,2.4309999999999974,cd:75:20:e1:ef:ef,Lower back,-0.588,good1
1,2.433,2.433,ea:e4:fd:d7:dc:2a,Mid-back,0.566,good1
1,2.489999999999995,2.489999999999995,fe:77:90:13:0e:6b,Neck,-1.956,good1
1,2.549999999999997,2.549999999999997,cd:75:20:e1:ef:ef,Lower back,-0.571,good1
1,2.553999999999995,2.553999999999995,ea:e4:fd:d7:dc:2a,Mid-back,0.549,good1
1,2.641999999999996,2.641999999999996,ea:e4:fd:d7:dc:2a,Mid-back,0.533,good1
1,2.6699999999999946,2.6699999999999946,cd:75:20:e1:ef:ef,Lower back,-0.582,good1
1,2.6999999999999957,2.6999999999999957,cd:75:20:e1:ef:ef,Lower back,-0.571,good1
1,2.7620000000000005,2.7620000000000005,ea:e4:fd:d7:dc:2a,Mid-back,0.516,good1
1,2.7879999999999967,2.7879999999999967,fe:77:90:13:0e:6b,Neck,-1.972,good1
1,2.8200000000000003,2.8200000000000003,cd:75:20:e1:ef:ef,Lower back,-0.566,good1
1,2.8200000000000003,2.8200000000000003,fe:77:90:13:0e:6b,Neck,-1.978,good1
1,2.8219999999999956,2.8219999999999956,ea:e4:fd:d7:dc:2a,Mid-back,0.505,good1
1,2.8499999999999943,2.8499999999999943,fe:77:90:13:0e:6b,Neck,-1.972,good1
1,2.8799999999999955,2.8799999999999955,fe:77:90:13:0e:6b,Neck,-1.989,good1
1,2.9099999999999966,2.9099999999999966,cd:75:20:e1:ef:ef,Lower back,-0.555,good1
1,2.942,2.942,ea:e4:fd:d7:dc:2a,Mid-back,0.505,good1
1,3.0289999999999964,3.0289999999999964,fe:77:90:13:0e:6b,Neck,-2.016,good1
1,3.0289999999999964,3.0289999999999964,cd:75:20:e1:ef:ef,Lower back,-0.549,good1
1,3.030999999999999,3.030999999999999,ea:e4:fd:d7:dc:2a,Mid-back,0.5,good1
1,3.120999999999995,3.120999999999995,cd:75:20:e1:ef:ef,Lower back,-0.549,good1
1,3.148999999999994,3.148999999999994,fe:77:90:13:0e:6b,Neck,-2.043,good1
1,3.1509999999999962,3.1509999999999962,ea:e4:fd:d7:dc:2a,Mid-back,0.494,good1
1,3.2099999999999937,3.2099999999999937,cd:75:20:e1:ef:ef,Lower back,-0.555,good1
1,3.242999999999995,3.242999999999995,ea:e4:fd:d7:dc:2a,Mid-back,0.494,good1
1,3.2689999999999984,3.2689999999999984,fe:77:90:13:0e:6b,Neck,-2.071,good1
1,3.299999999999997,3.299999999999997,fe:77:90:13:0e:6b,Neck,-2.104,good1
1,3.299999999999997,3.299999999999997,cd:75:20:e1:ef:ef,Lower back,-0.538,good1
1,3.391999999999996,3.391999999999996,ea:e4:fd:d7:dc:2a,Mid-back,0.5,good1
1,3.418999999999997,3.418999999999997,fe:77:90:13:0e:6b,Neck,-2.142,good1
1,3.4209999999999994,3.4209999999999994,cd:75:20:e1:ef:ef,Lower back,-0.527,good1
1,3.421999999999997,3.421999999999997,ea:e4:fd:d7:dc:2a,Mid-back,0.511,good1
1,3.478999999999999,3.478999999999999,fe:77:90:13:0e:6b,Neck,-2.175,good1
1,3.540999999999997,3.540999999999997,cd:75:20:e1:ef:ef,Lower back,-0.516,good1
1,3.540999999999997,3.540999999999997,ea:e4:fd:d7:dc:2a,Mid-back,0.522,good1
1,3.658999999999999,3.658999999999999,fe:77:90:13:0e:6b,Neck,-2.197,good1
1,3.6909999999999954,3.6909999999999954,cd:75:20:e1:ef:ef,Lower back,-0.511,good1
1,3.721999999999994,3.721999999999994,ea:e4:fd:d7:dc:2a,Mid-back,0.533,good1
1,3.7789999999999964,3.7789999999999964,fe:77:90:13:0e:6b,Neck,-2.214,good1
1,3.7789999999999964,3.7789999999999964,cd:75:20:e1:ef:ef,Lower back,-0.5,good1
1,3.808,3.808,fe:77:90:13:0e:6b,Neck,-2.23,good1
1,3.811,3.811,ea:e4:fd:d7:dc:2a,Mid-back,0.544,good1
1,3.840999999999994,3.840999999999994,cd:75:20:e1:ef:ef,Lower back,-0.5,good1
1,3.840999999999994,3.840999999999994,ea:e4:fd:d7:dc:2a,Mid-back,0.555,good1
1,3.898999999999994,3.898999999999994,fe:77:90:13:0e:6b,Neck,-2.252,good1
1,3.8999999999999986,3.8999999999999986,cd:75:20:e1:ef:ef,Lower back,-0.494,good1
1,3.9609999999999985,3.9609999999999985,ea:e4:fd:d7:dc:2a,Mid-back,0.571,good1
1,4.019999999999996,4.019999999999996,fe:77:90:13:0e:6b,Neck,-2.274,good1
1,4.050999999999995,4.050999999999995,cd:75:20:e1:ef:ef,Lower back,-0.489,good1
1,4.052999999999997,4.052999999999997,ea:e4:fd:d7:dc:2a,Mid-back,0.582,good1
1,4.0789999999999935,4.0789999999999935,fe:77:90:13:0e:6b,Neck,-2.67,good1
1,4.141999999999996,4.141999999999996,ea:e4:fd:d7:dc:2a,Mid-back,0.593,good1
1,4.169999999999995,4.169999999999995,cd:75:20:e1:ef:ef,Lower back,-0.45,good1
1,4.199999999999996,4.199999999999996,fe:77:90:13:0e:6b,Neck,-3.065,good1
1,4.231999999999999,4.231999999999999,ea:e4:fd:d7:dc:2a,Mid-back,0.615,good1
1,4.259999999999998,4.259999999999998,cd:75:20:e1:ef:ef,Lower back,-0.412,good1
1,4.288999999999994,4.288999999999994,fe:77:90:13:0e:6b,Neck,-3.241,good1
1,4.349999999999994,4.349999999999994,cd:75:20:e1:ef:ef,Lower back,-0.401,good1
1,4.351999999999997,4.351999999999997,ea:e4:fd:d7:dc:2a,Mid-back,0.632,good1
1,4.440999999999995,4.440999999999995,cd:75:20:e1:ef:ef,Lower back,-0.396,good1
1,4.442,4.442,ea:e4:fd:d7:dc:2a,Mid-back,0.648,good1
1,4.468999999999994,4.468999999999994,fe:77:90:13:0e:6b,Neck,-3.279,good1
1,4.498999999999995,4.498999999999995,fe:77:90:13:0e:6b,Neck,-3.79,good1
1,4.500999999999998,4.500999999999998,cd:75:20:e1:ef:ef,Lower back,-0.39,good1
1,4.561,4.561,ea:e4:fd:d7:dc:2a,Mid-back,0.659,good1
1,4.619,4.619,fe:77:90:13:0e:6b,Neck,-4.329,good1
1,4.620999999999995,4.620999999999995,cd:75:20:e1:ef:ef,Lower back,-0.385,good1
1,4.650999999999996,4.650999999999996,ea:e4:fd:d7:dc:2a,Mid-back,0.687,good1
1,4.709999999999994,4.709999999999994,cd:75:20:e1:ef:ef,Lower back,-0.379,good1
1,4.738999999999997,4.738999999999997,fe:77:90:13:0e:6b,Neck,-4.175,good1
1,4.800999999999995,4.800999999999995,ea:e4:fd:d7:dc:2a,Mid-back,0.709,good1
1,4.829999999999998,4.829999999999998,cd:75:20:e1:ef:ef,Lower back,-0.374,good1
1,4.832999999999998,4.832999999999998,ea:e4:fd:d7:dc:2a,Mid-back,0.731,good1
1,4.887999999999998,4.887999999999998,fe:77:90:13:0e:6b,Neck,-3.851,good1
1,4.918999999999997,4.918999999999997,fe:77:90:13:0e:6b,Neck,-3.203,good1
1,4.9510000000000005,4.9510000000000005,cd:75:20:e1:ef:ef,Lower back,-0.374,good1
1,4.9510000000000005,4.9510000000000005,ea:e4:fd:d7:dc:2a,Mid-back,0.747,good1
1,5.007999999999996,5.007999999999996,fe:77:90:13:0e:6b,Neck,-2.455,good1
1,5.040999999999997,5.040999999999997,ea:e4:fd:d7:dc:2a,Mid-back,0.764,good1
1,5.070999999999998,5.070999999999998,cd:75:20:e1:ef:ef,Lower back,-0.379,good1
1,5.099999999999994,5.099999999999994,fe:77:90:13:0e:6b,Neck,-1.549,good1
1,5.160999999999994,5.160999999999994,cd:75:20:e1:ef:ef,Lower back,-0.379,good1
1,5.160999999999994,5.160999999999994,ea:e4:fd:d7:dc:2a,Mid-back,0.791,good1
1,5.248999999999995,5.248999999999995,fe:77:90:13:0e:6b,Neck,-0.698,good1
1,5.279999999999994,5.279999999999994,cd:75:20:e1:ef:ef,Lower back,-0.374,good1
1,5.2819999999999965,5.2819999999999965,ea:e4:fd:d7:dc:2a,Mid-back,0.807,good1
1,5.338999999999999,5.338999999999999,fe:77:90:13:0e:6b,Neck,-0.132,good1
1,5.3699999999999974,5.3699999999999974,cd:75:20:e1:ef:ef,Lower back,-0.368,good1
1,5.372,5.372,ea:e4:fd:d7:dc:2a,Mid-back,0.829,good1
1,5.43,5.43,cd:75:20:e1:ef:ef,Lower back,-0.357,good1
1,5.459999999999994,5.459999999999994,fe:77:90:13:0e:6b,Neck,0.472,good1
1,5.489999999999995,5.489999999999995,fe:77:90:13:0e:6b,Neck,1.208,good1
1,5.491999999999997,5.491999999999997,ea:e4:fd:d7:dc:2a,Mid-back,0.846,good1
1,5.549999999999997,5.549999999999997,cd:75:20:e1:ef:ef,Lower back,-0.357,good1
1,5.580999999999996,5.580999999999996,ea:e4:fd:d7:dc:2a,Mid-back,0.862,good1
1,5.640999999999998,5.640999999999998,ea:e4:fd:d7:dc:2a,Mid-back,0.879,good1
1,5.668999999999997,5.668999999999997,cd:75:20:e1:ef:ef,Lower back,-0.357,good1
1,5.668999999999997,5.668999999999997,fe:77:90:13:0e:6b,Neck,1.972,good1
1,5.698999999999998,5.698999999999998,fe:77:90:13:0e:6b,Neck,2.565,good1
1,5.760999999999996,5.760999999999996,cd:75:20:e1:ef:ef,Lower back,-0.352,good1
1,5.792999999999999,5.792999999999999,ea:e4:fd:d7:dc:2a,Mid-back,0.895,good1
1,5.850999999999999,5.850999999999999,ea:e4:fd:d7:dc:2a,Mid-back,0.906,good1
1,5.878999999999998,5.878999999999998,fe:77:90:13:0e:6b,Neck,2.774,good1
1,5.881,5.881,cd:75:20:e1:ef:ef,Lower back,-0.352,good1
1,5.910999999999994,5.910999999999994,cd:75:20:e1:ef:ef,Lower back,-0.346,good1
1,5.967999999999996,5.967999999999996,fe:77:90:13:0e:6b,Neck,2.499,good1
1,5.971999999999994,5.971999999999994,ea:e4:fd:d7:dc:2a,Mid-back,0.923,good1
1,6.029999999999994,6.029999999999994,cd:75:20:e1:ef:ef,Lower back,-0.341,good1
1,6.059999999999995,6.059999999999995,ea:e4:fd:d7:dc:2a,Mid-back,0.945,good1
1,6.119,6.119,fe:77:90:13:0e:6b,Neck,2.466,good1
1,6.1199999999999974,6.1199999999999974,cd:75:20:e1:ef:ef,Lower back,-0.33,good1
1,6.149000000000001,6.149000000000001,fe:77:90:13:0e:6b,Neck,2.428,good1
1,6.181999999999995,6.181999999999995,ea:e4:fd:d7:dc:2a,Mid-back,0.967,good1
1,6.238999999999997,6.238999999999997,fe:77:90:13:0e:6b,Neck,2.401,good1
1,6.241999999999997,6.241999999999997,ea:e4:fd:d7:dc:2a,Mid-back,0.983,good1
1,6.269999999999996,6.269999999999996,cd:75:20:e1:ef:ef,Lower back,-0.297,good1
1,6.297999999999995,6.297999999999995,fe:77:90:13:0e:6b,Neck,2.39,good1
1,6.3289999999999935,6.3289999999999935,cd:75:20:e1:ef:ef,Lower back,-0.258,good1
1,6.390999999999998,6.390999999999998,ea:e4:fd:d7:dc:2a,Mid-back,1.005,good1
1,6.450999999999993,6.450999999999993,cd:75:20:e1:ef:ef,Lower back,-0.247,good1
1,6.450999999999993,6.450999999999993,ea:e4:fd:d7:dc:2a,Mid-back,1.022,good1
1,6.478999999999999,6.478999999999999,fe:77:90:13:0e:6b,Neck,2.395,good1
1,6.509,6.509,fe:77:90:13:0e:6b,Neck,2.406,good1
1,6.570999999999998,6.570999999999998,cd:75:20:e1:ef:ef,Lower back,-0.242,good1
1,6.571999999999996,6.571999999999996,ea:e4:fd:d7:dc:2a,Mid-back,1.044,good1
1,6.628999999999998,6.628999999999998,fe:77:90:13:0e:6b,Neck,2.417,good1
1,6.660999999999994,6.660999999999994,ea:e4:fd:d7:dc:2a,Mid-back,1.06,good1
1,6.718999999999994,6.718999999999994,cd:75:20:e1:ef:ef,Lower back,-0.231,good1
1,6.718999999999994,6.718999999999994,fe:77:90:13:0e:6b,Neck,2.422,good1
1,6.75,6.75,cd:75:20:e1:ef:ef,Lower back,-0.22,good1
1,6.811,6.811,ea:e4:fd:d7:dc:2a,Mid-back,1.077,good1
1,6.839999999999996,6.839999999999996,cd:75:20:e1:ef:ef,Lower back,-0.214,good1
1,6.840999999999994,6.840999999999994,ea:e4:fd:d7:dc:2a,Mid-back,1.093,good1
1,6.869,6.869,fe:77:90:13:0e:6b,Neck,2.521,good1
1,6.93,6.93,cd:75:20:e1:ef:ef,Lower back,-0.203,good1
1,6.962999999999994,6.962999999999994,ea:e4:fd:d7:dc:2a,Mid-back,1.11,good1
1,6.989999999999995,6.989999999999995,fe:77:90:13:0e:6b,Neck,2.56,good1
1,7.049999999999997,7.049999999999997,cd:75:20:e1:ef:ef,Lower back,-0.198,good1
1,7.050999999999995,7.050999999999995,ea:e4:fd:d7:dc:2a,Mid-back,1.121,good1
1,7.107999999999997,7.107999999999997,fe:77:90:13:0e:6b,Neck,2.681,good1
1,7.137999999999998,7.137999999999998,fe:77:90:13:0e:6b,Neck,2.955,good1
1,7.140000000000001,7.140000000000001,cd:75:20:e1:ef:ef,Lower back,-0.192,good1
1,7.170999999999999,7.170999999999999,ea:e4:fd:d7:dc:2a,Mid-back,1.137,good1
1,7.227999999999994,7.227999999999994,fe:77:90:13:0e:6b,Neck,3.752,good1
1,7.260999999999996,7.260999999999996,ea:e4:fd:d7:dc:2a,Mid-back,1.154,good1
1,7.319999999999993,7.319999999999993,cd:75:20:e1:ef:ef,Lower back,-0.181,good1
1,7.319999999999993,7.319999999999993,fe:77:90:13:0e:6b,Neck,4.4,good1
1,7.349999999999994,7.349999999999994,cd:75:20:e1:ef:ef,Lower back,-0.176,good1
1,7.384,7.384,ea:e4:fd:d7:dc:2a,Mid-back,1.165,good1
1,7.439,7.439,fe:77:90:13:0e:6b,Neck,4.603,good1
1,7.439999999999998,7.439999999999998,cd:75:20:e1:ef:ef,Lower back,-0.17,good1
1,7.500999999999998,7.500999999999998,ea:e4:fd:d7:dc:2a,Mid-back,1.176,good1
1,7.528999999999996,7.528999999999996,fe:77:90:13:0e:6b,Neck,4.433,good1
1,7.529999999999994,7.529999999999994,cd:75:20:e1:ef:ef,Lower back,-0.165,good1
1,7.591999999999999,7.591999999999999,ea:e4:fd:d7:dc:2a,Mid-back,1.181,good1
1,7.647999999999996,7.647999999999996,fe:77:90:13:0e:6b,Neck,4.268,good1
1,7.652000000000001,7.652000000000001,ea:e4:fd:d7:dc:2a,Mid-back,1.187,good1
1,7.739999999999995,7.739999999999995,fe:77:90:13:0e:6b,Neck,3.906,good1
1,7.739999999999995,7.739999999999995,cd:75:20:e1:ef:ef,Lower back,-0.165,good1
1,7.769999999999996,7.769999999999996,cd:75:20:e1:ef:ef,Lower back,-0.154,good1
1,7.7719999999999985,7.7719999999999985,ea:e4:fd:d7:dc:2a,Mid-back,1.192,good1
1,7.857999999999997,7.857999999999997,fe:77:90:13:0e:6b,Neck,3.878,good1
1,7.890999999999998,7.890999999999998,ea:e4:fd:d7:dc:2a,Mid-back,1.198,good1
1,7.947999999999993,7.947999999999993,fe:77:90:13:0e:6b,Neck,3.856,good1
1,7.9809999999999945,7.9809999999999945,cd:75:20:e1:ef:ef,Lower back,-0.154,good1
1,7.9809999999999945,7.9809999999999945,ea:e4:fd:d7:dc:2a,Mid-back,1.198,good1
1,8.009999999999998,8.009999999999998,cd:75:20:e1:ef:ef,Lower back,-0.159,good1
1,8.070999999999998,8.070999999999998,cd:75:20:e1:ef:ef,Lower back,-0.159,good1
1,8.072999999999993,8.072999999999993,ea:e4:fd:d7:dc:2a,Mid-back,1.198,good1
1,8.098999999999997,8.098999999999997,fe:77:90:13:0e:6b,Neck,3.84,good1
1,8.128999999999998,8.128999999999998,fe:77:90:13:0e:6b,Neck,3.818,good1
1,8.131,8.131,cd:75:20:e1:ef:ef,Lower back,-0.17,good1
1,8.189999999999998,8.189999999999998,ea:e4:fd:d7:dc:2a,Mid-back,1.203,good1
1,8.248999999999995,8.248999999999995,fe:77:90:13:0e:6b,Neck,3.801,good1
1,8.285999999999994,8.285999999999994,ea:e4:fd:d7:dc:2a,Mid-back,1.203,good1
1,8.369,8.369,fe:77:90:13:0e:6b,Neck,3.79,good1
1,8.369,8.369,cd:75:20:e1:ef:ef,Lower back,-0.181,good1
1,8.372999999999998,8.372999999999998,ea:e4:fd:d7:dc:2a,Mid-back,1.203,good1
1,8.400999999999996,8.400999999999996,cd:75:20:e1:ef:ef,Lower back,-0.187,good1
1,8.458999999999996,8.458999999999996,fe:77:90:13:0e:6b,Neck,3.779,good1
1,8.461999999999996,8.461999999999996,ea:e4:fd:d7:dc:2a,Mid-back,1.203,good1
1,8.521,8.521,cd:75:20:e1:ef:ef,Lower back,-0.198,good1
1,8.549,8.549,fe:77:90:13:0e:6b,Neck,3.785,good1
1,8.549999999999997,8.549999999999997,cd:75:20:e1:ef:ef,Lower back,-0.209,good1
1,8.61,8.61,ea:e4:fd:d7:dc:2a,Mid-back,1.214,good1
1,8.638999999999996,8.638999999999996,fe:77:90:13:0e:6b,Neck,3.785,good1
1,8.671,8.671,cd:75:20:e1:ef:ef,Lower back,-0.22,good1
1,8.671,8.671,ea:e4:fd:d7:dc:2a,Mid-back,1.225,good1
1,8.788999999999994,8.788999999999994,fe:77:90:13:0e:6b,Neck,3.785,good1
1,8.79,8.79,cd:75:20:e1:ef:ef,Lower back,-0.231,good1
1,8.820999999999998,8.820999999999998,ea:e4:fd:d7:dc:2a,Mid-back,1.236,good1
1,8.878,8.878,fe:77:90:13:0e:6b,Neck,3.724,good1
1,8.881999999999998,8.881999999999998,ea:e4:fd:d7:dc:2a,Mid-back,1.247,good1
1,8.909999999999997,8.909999999999997,cd:75:20:e1:ef:ef,Lower back,-0.236,good1
1,8.939999999999998,8.939999999999998,cd:75:20:e1:ef:ef,Lower back,-0.253,good1
1,8.967999999999996,8.967999999999996,fe:77:90:13:0e:6b,Neck,3.406,good1
1,9.000999999999998,9.000999999999998,ea:e4:fd:d7:dc:2a,Mid-back,1.258,good1
1,9.0589999999999975,9.0589999999999975,cd:75:20:e1:ef:ef,Lower back,-0.264,good1
1,9.061,9.061,ea:e4:fd:d7:dc:2a,Mid-back,1.269,good1
1,9.088999999999999,9.088999999999999,fe:77:90:13:0e:6b,Neck,3.142,good1
1,9.119,9.119,fe:77:90:13:0e:6b,Neck,2.994,good1
1,9.149999999999999,9.149999999999999,cd:75:20:e1:ef:ef,Lower back,-0.28,good1
1,9.1839999999999975,9.1839999999999975,ea:e4:fd:d7:dc:2a,Mid-back,1.285,good1
1,9.239999999999995,9.239999999999995,fe:77:90:13:0e:6b,Neck,2.961,good1
1,9.271,9.271,ea:e4:fd:d7:dc:2a,Mid-back,1.296,good1
1,9.271,9.271,cd:75:20:e1:ef:ef,Lower back,-0.291,good1
1,9.39,9.39,cd:75:20:e1:ef:ef,Lower back,-0.302,good1
1,9.39,9.39,ea:e4:fd:d7:dc:2a,Mid-back,1.307,good1
1,9.418999999999997,9.418999999999997,fe:77:90:13:0e:6b,Neck,2.939,good1
1,9.482999999999997,9.482999999999997,ea:e4:fd:d7:dc:2a,Mid-back,1.318,good1
1,9.507999999999996,9.507999999999996,fe:77:90:13:0e:6b,Neck,2.906,good1
1,9.509999999999998,9.509999999999998,cd:75:20:e1:ef:ef,Lower back,-0.308,good1
1,9.540999999999997,9.540999999999997,cd:75:20:e1:ef:ef,Lower back,-0.308,good1
1,9.604999999999997,9.604999999999997,ea:e4:fd:d7:dc:2a,Mid-back,1.335,good1
1,9.628999999999998,9.628999999999998,fe:77:90:13:0e:6b,Neck,2.873,good1
1,9.687999999999995,9.687999999999995,fe:77:90:13:0e:6b,Neck,2.829,good1
1,9.689999999999998,9.689999999999998,cd:75:20:e1:ef:ef,Lower back,-0.313,good1
1,9.692,9.692,ea:e4:fd:d7:dc:2a,Mid-back,1.346,good1
1,9.747999999999998,9.747999999999998,fe:77:90:13:0e:6b,Neck,2.791,good1
1,9.779999999999994,9.779999999999994,cd:75:20:e1:ef:ef,Lower back,-0.313,good1
1,9.780999999999999,9.780999999999999,ea:e4:fd:d7:dc:2a,Mid-back,1.351,good1
1,9.837999999999994,9.837999999999994,fe:77:90:13:0e:6b,Neck,2.758,good1
1,9.869999999999997,9.869999999999997,cd:75:20:e1:ef:ef,Lower back,-0.319,good1
1,9.870999999999995,9.870999999999995,ea:e4:fd:d7:dc:2a,Mid-back,1.362,good1
1,9.958999999999996,9.958999999999996,fe:77:90:13:0e:6b,Neck,2.714,good1
1,9.959999999999994,9.959999999999994,cd:75:20:e1:ef:ef,Lower back,-0.319,good1
1,9.991999999999997,9.991999999999997,ea:e4:fd:d7:dc:2a,Mid-back,1.368,good1
1,10.047999999999995,NA,fe:77:90:13:0e:6b,Neck,2.67,transition
